No,Move
1,1.076937873
2,0.944174757
3,0.96626232
4,0.950364732
5,0.992030005
6,0.991058824
7,0.862150538
8,0.893467435
9,0.951047688
10,1.011434511
11,0.954070981
12,0.891283364
13,0.976166597
14,0.947169365
15,1.02626486
16,1.122319035
17,0.937952633
18,1.081514763
19,1.05044843
20,1.137717122
21,1.099843994
22,1.031043371
23,1.10879444
24,1.104030501
25,1.26303681
26,1.173477255
27,1.159200454
28,1.165203721
29,1.183098592
30,1.140583554
31,1.181395349
32,1.157289003
33,1.289513297
34,1.126513467
35,1.149643705
36,1.366218236
37,1.111859838
38,1.142771446
39,1.068246445
40,1.25
41,1.166315789
42,1.150226757
43,1.245724572
44,1.203012912
45,1.143014301
46,1.16508938
47,1.302031063
